Pl Code Longitude  Latitude     Altitude rho_cos   rho_sin_phi  region         name
 3 C98   11.1764   +43.764918     59.705 0.72335   +0.68818     Italy          Osservatorio Casellina, Scandicci
 3 C99    2.89631  +41.826669    150.489 0.746295  +0.663419    Spain          Observatori Can Roig, Llagostera
 3 D00   42.6536   +43.740151   2104.520 0.72388   +0.68809     Russia         ASC-Kislovodsk Observatory
 3 D01   23.93061  +60.352767     79.288 0.495920  +0.865471    Finland        Andean Northern Observatory, Nummi-Pusula
 3 D02    2.05189  +41.383634    119.250 0.751414  +0.657647    Spain          Observatori Petit Sant Feliu
 3 D03   10.58892  +44.441106    696.564 0.715223  +0.696709    Italy          Rantiga Osservatorio, Tincana
 3 D04   38.8569   +44.894146     34.666 0.70960   +0.70225     Russia         Krasnodar
 3 D05   42.50005  +43.274569   3110.076 0.729580  +0.682314    Russia         ISON-Terskol Observatory
 3 D06   12.77017  +41.750270    581.475 0.747232  +0.662472    Italy          Associazione Tuscolana di Astronomia, Domatore
 3 D07    6.2094   +51.142527     75.685 0.62867   +0.77508     Germany        Wegberg
 3 D08    8.9191   +46.455115    950.271 0.69024   +0.72136     Switzerland    Ghezz Observatory, Leontica
 3 D09    5.6794   +50.941601     22.656 0.63139   +0.77287     Belgium        Observatory Gromme, Maasmechelen
 3 D10    8.90181  +48.648915    531.533 0.661976  +0.747123    Germany        Gaertringen
 3 D11    5.62797  +43.790819    476.480 0.723085  +0.688551    France         Bastidan Observatory
 3 D12   11.33806  +46.422793    318.634 0.690580  +0.720900    Italy          Filzi School Observatory, Laives
 3 D13   11.56369  +42.479972    199.693 0.738665  +0.671859    Italy          Cat's Eye Observatory
 3 D14  113.3231   +23.143683     14.260 0.92000   +0.39061     China          Nanchuan Observatory, Guangzhou
 3 D15   11.31781  +50.983394    267.931 0.630848  +0.773359    Germany        Sternwarte F.Schiller-Gymnasium, Weimar
 3 D16  113.96422  +22.376619     31.957 0.925155  +0.378330    China          Po Leung Kuk Observatory, Tuen Mun
 3 D17  114.2200   +22.474601     -9.736 0.9245    +0.3799      China          Hong Kong
 3 D18  114.3580   +30.521411     43.624 0.86219   +0.50490     China          Mt. Guizi Observatory
 3 D19  114.32300  +22.408327     98.975 0.924955  +0.378843    China          Hong Kong Space Museum Sai Kung iObservatory
 3 D20  115.71311  -31.355948     51.272 0.854733  -0.517343    Australia/WA   Zadko Observatory, Wallingup Plain
 3 D21  115.8150   -31.961553     -2.733 0.8492    -0.5263      Australia/WA   Shenton Park
 3 D22  115.81667  -31.978893     24.482 0.849044  -0.526558    Australia/WA   UWA Observatory, Crawley
 3 D23    0.51853  +41.561741    178.656 0.749367  +0.659977    Spain          OAIA, Alcarras
 3 D24  117.08969  -32.514144    147.864 0.844095  -0.534439    Australia/WA   LightBuckets Observatory, Pingelly
 3 D25  117.08978  -32.513139    144.846 0.844104  -0.534424    Australia/WA   Tzec Maun Observatory, Pingelly (before 2010)
 3 D26    1.92131  +43.807685    356.002 0.722868  +0.688750    France         Peyrole Observatory, Peyrole
 3 D27    3.80361  +43.626682    125.173 0.725021  +0.686446    France         Observatoire de Fontcaude, Juvignac
 3 D28    2.18286  +41.619802    282.425 0.748708  +0.660744    Spain          Escaldarium Observatory,Caldes de Montbui
 3 D29  118.4639   +32.734366    218.979 0.84204   +0.53767     China          Purple Mountain Observatory, XuYi Station
 3 D30   11.08350  +50.942811    340.480 0.631405  +0.772922    Germany        Sternwarte Silbergraben, Erfurt
 3 D31   10.09797  +44.504353    920.531 0.714476  +0.697520    Italy          Osservatorio Aldebaran, Rivalba
 3 D32  119.59975  +30.469432    942.861 0.862770  +0.504193    China          JiangNanTianChi Observatory, Mt. Getianling
 3 D33  120.6982   +22.049959     38.416 0.92730   +0.37308     Taiwan         Kenting Observatory, Checheng
 3 D34  120.7839   +21.950269    118.573 0.92796   +0.37148     Taiwan         Kenting Observatory, Hengchun
 3 D35  120.8736   +23.468580   2879.047 0.91818   +0.39597     Taiwan         Lulin Observatory
 3 D36  120.8897   +23.487263   2596.013 0.91801   +0.39625     Taiwan         Tataka, Mt. Yu-Shan National Park
 3 D37  120.87325  +23.468778   2860.725 0.918176  +0.395972    Taiwan         Lulin Widefield Telescope, Mt. Lulin
 3 D38    8.43764  +44.912897    157.438 0.709383  +0.702495    Italy          Tecnosky Astropark, Felizzano
 3 D39  122.04961  +37.535927    100.091 0.793971  +0.605943    China          Shandong University Observatory, Weihai
 3 D40   13.33772  +41.653222    254.016 0.748318  +0.661176    Italy          Frosinone
 3 D41   10.71704  +43.429224    485.944 0.727431  +0.683991    Italy          Osservatorio Astronomico Orciatico
 3 D42   11.19084  +43.747676    123.853 0.723565  +0.687970    Italy          Piero Angela Observatory, Scandicci
 3 D43    7.77039  +45.044600    555.431 0.707805  +0.704162    Italy          45th Parallel Observatory, Pino Torinese
 3 D44  124.13928  +24.372862    196.762 0.911427  +0.410157    Japan          Ishigakijima Astronomical Observatory
 3 D45   21.49325  +50.334547    203.712 0.639594  +0.766177    Poland         Kamyk, Trzesn
 3 D46    9.90265  +47.906000    724.482 0.671664  +0.738525    Germany        Observatory Bad Wurzach
 3 D47   11.56366  +42.479972    199.693 0.738665  +0.671859    Italy          BigBang Observatory, Manciano
 3 D48    7.26381  +49.330851    296.849 0.652979  +0.754898    Germany        Niederbexbach Observatory
 3 D49    0.79444  +40.876687     58.241 0.757213  +0.650992    Spain          L'Ametlla de Mar
 3 D50    5.21519  +44.039478    314.126 0.720062  +0.691654    France         Vaucluse Observatoire Celeste, Blauvac
 3 D51    1.94844  +44.082999    352.160 0.719539  +0.692203    France         Plateau Astronomique La Couronne
 3 D52    9.79750  +45.098032     87.240 0.707094  +0.704768    Italy          ULU Observatory, Caselle Landi
 3 D53  127.4820   +50.318536    214.305 0.63981   +0.76600     Russia         ISON-Blagoveschensk Observatory
 3 D54  127.4830   +50.318902    263.392 0.63981   +0.76601     Russia         MASTER-II Observatory, Blagoveshchensk
 3 D55  127.9747   +37.372831    205.007 0.79571   +0.60370     South Korea    Kangwon Science High School Observatory, Ksho
 3 D56   11.67408  +45.607803     93.456 0.700775  +0.711011    Italy          Osservatorio Sideris Oculus, San Pietro in Gu
 3 D57  128.88744  +35.252875    369.150 0.817572  +0.573996    South Korea    Gimhae Astronomical Observatory, Uhbang-dong
 3 D58  129.02500  +35.165619    149.564 0.818419  +0.572736    South Korea    KSA SEM Observatory, Danggam-dong
 3 D59    7.15617  +43.747770    398.800 0.723595  +0.688001    France         MARIAMIR, Saint-Jeannet
 3 D60   13.55146  +46.183670    832.667 0.693649  +0.718079    Italy          Sparky's Stars, Masseris
 3 D61  134.9131   +34.327701     29.273 0.82671   +0.56075     Japan          Suntopia Marina, Sumoto
 3 D62  130.4494   +33.289452     56.396 0.83676   +0.54575     Japan          Miyaki-Argenteus
 3 D63   10.46138  +44.081326    296.499 0.719553  +0.692176    Italy          G. Pascoli Observatory, Barga (since June 2023)
 3 D64   14.10967  +42.305528    179.161 0.740711  +0.669613    Italy          Fucama, Casalincontrada
 3 D65   11.53480  +45.497415    227.692 0.702163  +0.709679    Italy          G. Beltrame, Arcugnano Vicenza
 3 D66    9.14839  +45.376776    165.993 0.703654  +0.708197    Italy          Civico Osservatorio Astronomico di Rozzano
 3 D67   37.62472  +54.209185    175.117 0.586136  +0.807530    Russia         Tula Rooftop Observatory, Tula
 3 D68   11.73622  +45.465410     67.007 0.702543  +0.709270    Italy          Osservatorio Galileo, Padova
 3 D69    9.97013  +49.782617    342.740 0.646988  +0.760014    Germany        JMU Space-Observatory
 3 D70  133.4686   +33.467927     37.268 0.83505   +0.54834     Japan          Tosa
 3 D71   15.89225  +46.822401    304.705 0.685516  +0.725682    Austria        ObservaSTYRium, Stainz bei Straden
 3 D72   16.36131  -23.236603   1856.060 0.919630  -0.392207    Namibia        WAA Remote Observatory, Hakos
 3 D73   16.36139  -23.236611   1870.298 0.919632  -0.392208    Namibia        SNX-NET, Hakos
 3 D74  134.6819   +33.948936     54.371 0.83041   +0.55530     Japan          Nakagawa
 3 D75   16.95608  +39.488772     74.321 0.772805  +0.632534    Italy          Cariati
 3 D76    2.00702  +41.564599    349.351 0.749354  +0.660032    Spain          AAT-Terrassa, Terrassa
 3 D77   10.71736  +43.429020    482.054 0.727433  +0.683988    Italy          TD-TRO (Tuscany Remote Observatory)
 3 D78  136.13281  +34.768568    156.708 0.822378  +0.567077    Japan          Iga-Ueno
 3 D79  138.63092  -34.884487     43.798 0.821212  -0.568722    Australia/SA   YSVP Observatory, Vale Park
 3 D80  138.9728   +36.596424    861.621 0.80392   +0.59297     Japan          Gumma Astronomical Observatory
 3 D81  138.2239   +36.669278    356.183 0.80310   +0.59394     Japan          Nagano
 3 D82  137.6317   -33.931075     28.039 0.83058   -0.55504     Australia/SA   Wallaroo
 3 D83  138.4681   +36.496336   1281.527 0.80501   +0.59161     Japan          Miwa
 3 D84  138.5086   -35.086370     54.807 0.8192    -0.5716      Australia/SA   Hallet Cove
 3 D85  138.6597   -34.820641    147.776 0.82186   -0.56782     Australia/SA   Ingle Farm
 3 D86  138.6407   -33.918940    429.387 0.83075   -0.55490     Australia/SA   Penwortham
 3 D87  138.5500   -34.926094    -17.531 0.82079   -0.56931     Australia/SA   Brooklyn Park
 3 D88  139.3142   +35.369663     -3.842 0.81635   +0.57562     Japan          Hiratsuka
 3 D89  140.3383   +38.184585    562.682 0.7871    +0.6149      Japan          Yamagata
 3 D90  140.3420   -34.269333     13.586 0.82728   -0.55991     Australia/SA   RAS Observatory, Moorook
 3 D91  140.8250   +37.665917    254.841 0.79261   +0.60775     Japan          Adati
 3 D92  140.94638  +38.565522     41.729 0.782920  +0.620047    Japan          Osaki
 3 D93  140.75516  +38.255144    162.860 0.786291  +0.615826    Japan          Sendai Astronomical Observatory
 3 D94  139.9962   +36.628007    208.037 0.80351   +0.59335     Japan          Takanezawa, Tochigi
 3 D95  141.0680   +38.801469     14.706 0.78035   +0.62325     Japan          Kurihara
 3 D96  140.34216  -34.268869     32.525 0.827287  -0.559905    Australia/SA   Tzec Maun Observatory, Moorook
 3 D97  140.5700   -34.244932     22.177 0.82752   -0.55956     Australia/SA   Berri
 3 D98   11.33409  +44.259208    745.434 0.717444  +0.694448    Italy          Loiano TANDEM
 3 D99    0.39122  +44.261624    232.292 0.717357  +0.694422    France         AstroKoT, Port-Ste-Marie
 3 E00  144.2089   -37.059619    313.796 0.79902   -0.59937     Australia/VIC  Castlemaine
 3 E01  144.54142  -37.098948    398.631 0.798618  -0.599924    Australia/VIC  Barfold
 3 E03  145.3822   -38.136178     71.609 0.78756   -0.61419     Australia/VIC  RAS Observatory, Officer
 3 E04  145.7403   +15.156538     92.290 0.96545   +0.25977     US/Saipan      Pacific Sky Observatory, Saipan
 3 E05  145.69721  -16.794672     73.158 0.957625  -0.287092    Australia/QLD  Earl Hill Observatory, Trinity Beach
 3 E07  148.99889  -34.958699    595.907 0.820544  -0.569830    Australia/NSW  Murrumbateman
 3 E08  149.33431  -31.226991    600.644 0.855971  -0.515472    Australia/NSW  Wobblesock Observatory, Coonabarabran
 3 E09  149.0814   -31.281463    827.066 0.85551   -0.51630     Australia/NSW  Oakley Southern Sky Observatory, Coonabarabran
 3 E10  149.07085  -31.272806   1154.348 0.855632  -0.516198    Australia/NSW  Siding Spring-Faulkes Telescope South
 3 E11  149.6627   -32.456034    543.515 0.84469   -0.53362     Australia/NSW  Frog Rock Observatory, Mudgee
 3 E12  149.0642   -31.273455   1183.177 0.85563   -0.51621     Australia/NSW  Siding Spring Survey
 3 E13  149.0969   -35.390394    612.644 0.81622   -0.57597     Australia/NSW  Wanniassa
 3 E14  149.1100   -35.162463    690.888 0.81852   -0.57274     Australia/NSW  Hunters Hill Observatory, Ngunnawal
 3 E15  149.6061   -34.998673    709.829 0.82016   -0.57041     Australia/NSW  Magellan Observatory, near Goulburn
 3 E16  149.36624  -33.829624    952.993 0.831684  -0.553656    Australia/NSW  Grove Creek Observatory, Trunkey
 3 E17  150.3417   -33.706839   1174.992 0.8329    -0.5519      Australia/NSW  Leura
 3 E18  151.02714  -34.010413    104.761 0.829819  -0.556191    Australia/NSW  BDI Observatory, Regents Park
 3 E19  151.0958   -33.947661     36.044 0.83042   -0.55528     Australia/NSW  Kingsgrove
 3 E20  151.10320  -33.770507    108.983 0.832146  -0.552728    Australia/NSW  Marsfield
 3 E21  151.5667   -27.985792    609.832 0.8838    -0.4665      Australia/QLD  Norma Rose Observatory, Leyburn
 3 E22  151.85500  -27.797722    669.202 0.885337  -0.463616    Australia/QLD  Univ. of Southern Queensland Obs., Mt. Kent
 3 E23  151.07119  -33.621199    181.607 0.833596  -0.550574    Australia/NSW  Arcadia
 3 E24  150.7769   -33.809709     56.430 0.83176   -0.55329     Australia/NSW  Tangra Observatory, St. Clair
 3 E25  153.1170   -27.563958     -6.532 0.88713   -0.45997     Australia/QLD  Rochedale (APTA)
 3 E26  153.3971   -27.933917     13.334 0.88414   -0.46566     Australia/QLD  RAS Observatory, Biggera Waters
 3 E27  153.2667   -27.566288    -87.610 0.8871    -0.4600      Australia/QLD  Thornlands
 3 E28  150.64105  -33.664388    305.021 0.833196  -0.551210    Australia/NSW  Kuriwa Observatory, Hawkesbury Heights
 3 E29  115.95533  -32.309798    -13.625 0.845978  -0.531426    Australia/WA   Mardella Observatory
 3 E62  149.08135  -31.281739    838.174 0.855509  -0.516305    Australia/NSW  Slooh.com Australia, Coonabarabran
 3 E81  173.2617   -41.274462    124.363 0.75267   -0.65622     New Zealand    Nelson
 3 E83  173.95703  -41.535738     13.963 0.749648  -0.659621    New Zealand    Wither Observatory, Witherlea
 3 E85  174.89400  -36.895808      6.601 0.800696  -0.597064    New Zealand    Farm Cove
 3 E87  175.6540   -40.411595     79.802 0.76249   -0.64485     New Zealand    Turitea
 3 E89  176.2040   -38.136018    300.884 0.78759   -0.61421     New Zealand    Geyserland Observatory, Pukehangi
 3 E94  177.88331  -38.629922     11.072 0.782217  -0.620920    New Zealand    Possum Observatory, Gisborne
 3 F51  203.74409  +20.707235   3067.733 0.936241  +0.351543    US/Hawaii      Pan-STARRS 1, Haleakala
 3 F52  203.74409  +20.707384   3060.311 0.936239  +0.351545    US/Hawaii      Pan-STARRS 2, Haleakala
 3 F59  201.94100  +21.311100     27.429 0.932037  +0.361160    US/Hawaii      Ironwood Remote Observatory, Hawaii
 3 F60  201.95283  +21.644636    199.079 0.929942  +0.366558    US/Hawaii      Ironwood Observatory, Hawaii
 3 F65  203.74250  +20.707007   3044.524 0.936239  +0.351538    US/Hawaii      Haleakala-Faulkes Telescope North
 3 F84  210.3842   -17.634072    -23.897 0.95330   -0.30100     Tahiti         Hibiscus Observatory, Punaauia
 3 F85  210.3842   -17.634072    -23.897 0.95330   -0.30100     Tahiti         Tiki Observatory, Punaauia
 3 F86  210.38381  -17.634221      8.145 0.953304  -0.301004    Tahiti         Moana Observatory, Punaauia
 3 G00   15.12600  +48.381564    914.616 0.665508  +0.744080    Austria        AZM Martinsberg, Oed
 3 G01    8.16528  +53.152847     53.648 0.600977  +0.796597    Germany        Universitaetssternwarte Oldenburg
 3 G02   18.76539  +49.307316    460.986 0.653307  +0.754650    Slovakia       KYSUCE Observatory, Kysucke Nove Mesto
 3 G03   18.26061  +47.362997    361.722 0.678620  +0.732104    Hungary        Capricornus Observatory, Csokako
 3 G04    7.14133  +51.230706    386.071 0.627502  +0.776082    Germany        Schuelerlabor Astronomie St. 7, Wuppertal
 3 G05  354.53363  +38.177283    582.408 0.787181  +0.614802    Spain          Piconcillo, Sierra Morena
 3 G06    4.67150  +51.779218     45.596 0.619980  +0.781996    Netherlands    Dordrecht, Sterrenburg
 3 G07    3.06386  +44.096004    464.510 0.719394  +0.692378    France         Millau Observatory
 3 G08    1.99694  +41.620271    704.035 0.748752  +0.660794    Spain          Observatorio Les Pedritxes, Matadepera
 3 G09    0.61056  +51.647539     55.756 0.621784  +0.780574    UK/England     SWF Observatory, South Woodham Ferrers
 3 G10  354.45055  +37.667863    131.547 0.792574  +0.607765    Spain          Clavier Observatory, Lora Del Rio
 3 G11    7.18379  +50.993278    247.233 0.630712  +0.773465    Germany        Breitenweg Observatory, Herkenrath
 3 G12    8.3306   +51.676397    167.423 0.62140   +0.78090     Germany        Sternwarte EG, Lippstadt
 3 G13    9.77164  +63.214082     69.656 0.451870  +0.889105    Norway         Astronomihagen, Fannrem
 3 G14    7.00520  +43.609130    257.941 0.725247  +0.686239    France         Novaloop Observatory, Mougins
 3 G15    9.1183   +44.772008    570.316 0.71116   +0.70080     Italy          Magroforte Observatory, Alessandria
 3 G16   13.34869  +38.100310     93.304 0.787948  +0.613701    Italy          OmegaLab Observatory, Palermo
 3 G17   11.20261  +43.752136     94.994 0.723508  +0.688023    Italy          BAS Observatory, Scandicci
 3 G18   11.28056  +44.626939     59.547 0.712881  +0.698947    Italy          ALMO Observatory, Padulle
 3 G19   12.7460   +50.860591    360.680 0.63252   +0.77202     Germany        Immanuel Kant Observatory,Limbach
 3 G20    6.05989  +43.401236    283.226 0.727743  +0.683615    France         Brignoles Observatory
 3 G21   13.73789  +37.347128    546.724 0.796024  +0.603377    Italy          Osservatorio Castrofilippo
 3 G22    9.21439  +49.144491    244.414 0.655435  +0.752770    Germany        Experimenta Observatory, Heilbronn
 3 G23   19.09234  +47.588701    151.197 0.675698  +0.734739    Hungary        Vulpecula Observatory, Budapest
 3 G24    9.09350  +48.612819    480.168 0.662443  +0.746701    Germany        Dettenhausen
 3 G25  288.1050   +45.415613    146.229 0.70317   +0.70867     Canada/Quebec  Sherbrooke
 3 G26  109.8236   +34.508337    460.794 0.82499   +0.56338     China          Fushan Observatory, Mt Shaohua
 3 G27    0.72935  +42.051659   1573.590 0.743842  +0.666483    Spain          Fabra Observatory, Montsec
 3 G28    1.00850  +52.510997     43.951 0.609900  +0.789830    UK/England     Wyncroft Observatory, Attleborough
 3 G29  358.9124   +39.491384    685.211 0.77285   +0.63263     Spain          Requena
 3 G30  284.90719  +45.306132     60.570 0.704518  +0.707320    Canada/Ontari  Casselman
 3 G31   13.7253   +45.714674    248.590 0.69946   +0.71233     Italy          CCAT Trieste
 3 G32  291.82040  -22.953233   2399.446 0.921639  -0.387713    Chile          Elena Remote Observatory, San Pedro de Atacama
 3 G33    7.60879  +51.528831    101.188 0.623411  +0.779293    Germany        Wickede
 3 G34   13.70150  +50.860005    553.479 0.632547  +0.772037    Germany        Oberfrauendorf
 3 G35  249.15789  +31.945051    930.571 0.849476  +0.526134    US/Arizona     Elephant Head Obsevatory, Sahuarita
 3 G36  357.45250  +37.222887   2182.977 0.797538  +0.601812    Spain          Calar Alto-CASADO
 3 G37  248.57779  +34.744378   2346.659 0.822900  +0.566927    US/Arizona     Lowell Discovery Telescope
 3 G38  356.76842  +40.641132    700.225 0.759967  +0.647951    Spain          Observatorio La Senda, Cabanillas del Campo
 3 G39  291.82039  -22.953105   2400.344 0.921640  -0.387711    Chile          ROAD, San Pedro de Atacama
 3 G40  343.49174  +28.299720   2370.113 0.881470  +0.471441    Canary Island  Slooh.com Canary Islands Observatory
 3 G41  264.73816  +29.967077     22.264 0.867040  +0.496575    US/Texas       Insperity Observatory, Humble
 3 G42  259.0230   +25.427831   1591.314 0.90391   +0.42687     Mexico         Observatorio Astronomico UAdeC, Saltillo
 3 G43  293.6879   -33.152186    835.635 0.83817   -0.54382     Argentina      Observatorio Buenaventura Suarez, San Luis
 3 G44  313.3061   -22.987244    816.636 0.92118   -0.38816     Brazil         Observatorio Longa Vista, Sao Paulo
 3 G45  253.63564  +33.739422   2422.438 0.832748  +0.552480    US/New Mexico  Space Surveillance Telescope, Atom Site
 3 G46  244.66153  +35.224571   1664.545 0.818022  +0.573711    US/California  Pinto Valley Observatory
 3 G47  253.80654  +35.049714   2085.663 0.819827  +0.571261    US/New Mexico  HillTopTop Observatory, Edgewood
 3 G48  251.10148  +31.946920   1345.470 0.849514  +0.526196    US/New Mexico  Harlingten Research Observatory, Rancho Hildalgo
 3 G49  266.5943   +44.954211    296.434 0.70889   +0.70302     US/Minnesota   Minnetonka
 3 G50  253.3300   +32.296029   1375.248 0.84629   +0.53134     US/New Mexico  Organ Mesa Observatory, Las Cruces
 3 G51  239.95778  +34.691463    326.978 0.823164  +0.565990    US/California  Byrne Observatory, Sedgwick Reserve
 3 G52  237.49604  +38.288709     63.924 0.785917  +0.616275    US/California  Stone Edge Observatory, El Verano
 3 G53  240.58727  +37.070515   1411.134 0.799043  +0.599625    US/California  Alder Springs Observatory, Auberry
 3 G54  243.0630   +33.693764    590.970 0.83295   +0.55166     US/California  Hemet
 3 G55  241.09533  +35.370750    167.821 0.816361  +0.575651    US/California  Bakersfield
 3 G56  237.9294   +37.924106     41.427 0.78983   +0.61128     US/California  Walnut Creek
 3 G57  236.8564   +45.532488     73.300 0.70171   +0.71009     US/Oregon      Dilbert Observatory, Forest Grove
 3 G58  237.8180   +37.819331    450.451 0.79100   +0.60988     US/California  Chabot Space and Science Center, Oakland
 3 G59  237.4530   +47.661778     85.808 0.67475   +0.73559     US/Washington  Maiden Lane Obs., Bainbridge Island
 3 G60  240.33888  +34.448409    181.790 0.825544  +0.562496    US/California  Carroll Observatory, Montecito
 3 G61  238.1524   +37.655933    124.724 0.79270   +0.60760     US/California  Pleasanton
 3 G62  238.5469   +43.876370   1248.264 0.72214   +0.68971     US/Oregon      Sunriver Nature Center Observatory, Sunriver
 3 G63  238.6858   +45.549113    226.047 0.70152   +0.71031     US/Oregon      Mill Creek Observatory, The Dalles
 3 G64  239.2911   +39.274187   1516.509 0.77535   +0.62979     US/California  Blue Canyon Observatory
 3 G65  238.3612   +37.342524   1247.934 0.79616   +0.60338     US/California  Vulcan North, Lick Observatory, Mount Hamilton
 3 G66  238.9169   +38.712186    236.987 0.78135   +0.62206     US/California  Lake Forest Observatory, Forest Hills
 3 G67  239.3650   +38.721062    945.194 0.78134   +0.62225     US/California  Rancho Del Sol, Camino
 3 G68  240.2250   +38.811659   1661.171 0.78044   +0.62355     US/California  Sierra Stars Observatory, Markleeville
 3 G69  241.0158   +34.169638    282.897 0.82829   +0.55850     US/California  Via Capote Sky Observatory, Thousand Oaks
 3 G70  241.4547   +34.463211    426.647 0.82543   +0.56273     US/California  Francisquito Observatory, Los Angeles
 3 G71  241.6047   +33.771589    296.664 0.83216   +0.55276     US/California  Rancho Palos Verdes
 3 G72  241.82408  +34.064203    147.998 0.829301  +0.556970    US/California  University Hills
 3 G73  241.9400   +34.213381   1652.153 0.82804   +0.55925     US/California  Mount Wilson-TIE
 3 G74  242.88538  +33.225028    473.027 0.837429  +0.544849    US/California  Boulder Knolls Observatory, Escondido
 3 G75  243.2783   +33.483607   1569.783 0.8351    +0.5487      US/California  Starry Knight Observatory, Coto de Caza
 3 G76  242.4178   +33.591854    193.429 0.83388   +0.55015     US/California  Altimira Observatory, Coto de Caza
 3 G77  243.7183   +34.283975   2046.956 0.8274    +0.5603      US/California  Baldwin Lake
 3 G78  244.3127   +32.780118     -5.175 0.84158   +0.53832     US/California  Desert Wanderer Observatory, El Centro
 3 G79  243.6165   +34.291099    887.611 0.82718   +0.56030     US/California  Goat Mountain Astronomical Research Station
 3 G80  240.5873   +37.070390   1376.643 0.79904   +0.59962     US/California  Sierra Remote Observatories, Auberry
 3 G81  242.91300  +33.486900    312.496 0.834904  +0.548639    US/California  Temecula
 3 G82  248.40057  +31.960531   2046.557 0.849482  +0.526455    US/Arizona     SARA Observatory, Kitt Peak
 3 G83  250.11039  +32.701485   3182.410 0.842740  +0.537440    US/Arizona     Mt. Graham-LBT
 3 G84  249.21084  +32.442529   2780.623 0.845112  +0.533610    US/Arizona     Mount Lemmon SkyCenter
 3 G85  247.56518  +37.029036   1603.332 0.799502  +0.599067    US/Utah        Vermillion Cliffs Observatory, Kanab
 3 G86  249.0697   +32.269723    739.115 0.84645   +0.53090     US/Arizona     Tucson-Winterhaven
 3 G87  248.1894   +41.808031   1421.960 0.74666   +0.66331     US/Utah        Calvin M. Hooper Memorial Observatory, Hyde Park
 3 G88  247.8881   +33.933920    701.591 0.83064   +0.55514     US/Arizona     LAMP Observatory, New River
 3 G89  248.3069   +35.099476   2089.964 0.81933   +0.57197     US/Arizona     Kachina Observatory, Flagstaff
 3 G90  248.9658   +32.642288   1016.782 0.84301   +0.53639     US/Arizona     Three Buttes Observatory, Tucson
 3 G91  249.1219   +31.680709   2287.949 0.85208   +0.52234     US/Arizona     Whipple Observatory, Mt. Hopkins--2MASS
 3 G92  249.2814   +31.976191   1010.354 0.84920   +0.52660     US/Arizona     Jarnac Observatory, Vail
 3 G93  249.3726   +31.662445   1562.811 0.85215   +0.52201     US/Arizona     Sonoita Research Observatory, Sonoita
 3 G94  249.9267   +31.928464   1542.600 0.84971   +0.52594     US/Arizona     Sonoran Skies Observatory, St. David
 3 G95  249.7622   +31.452173   1386.852 0.85404   +0.51888     US/Arizona     Hereford Arizona Observatory, Hereford
 3 G96  249.21128  +32.442732   2757.131 0.845107  +0.533611    US/Arizona     Mt. Lemmon Survey
 3 G97  250.8694   +31.933218   1420.219 0.84965   +0.52600     US/Arizona     Astronomical League Alpha Observatory, Portal
 3 G98  251.34354  +35.525435   2022.028 0.815037  +0.578012    US/New Mexico  Calvin-Rehoboth Observatory, Rehoboth
 3 G99  251.8104   +32.770984   1921.735 0.84192   +0.53835     US/New Mexico  NF Observatory, Silver City
 3 H00  251.6987   +32.710840   1802.273 0.84247   +0.53746     US/New Mexico  Tyrone
 3 H01  252.81067  +33.984831   3229.504 0.830474  +0.556096    US/New Mexico  Magdalena Ridge Observatory, Socorro
 3 H02  253.3706   +35.882355   2397.204 0.81146   +0.58309     US/New Mexico  Sulphur Flats Observatory, La Cueva
 3 H03  253.3553   +35.273229   1638.070 0.81753   +0.57440     US/New Mexico  Sandia View Observatory, Rio Rancho
 3 H04  254.0260   +35.640212   2062.465 0.81388   +0.57964     US/New Mexico  Santa Fe
 3 H05  256.0707   +39.644309   1562.060 0.77126   +0.63477     US/Colorado    Edmund Kline Observatory, Deer Trail
 3 H06  254.47130  +32.903325   2226.842 0.840712  +0.540310    US/New Mexico  iTelescope Observatory, Mayhill
 3 H07  254.47134  +32.903391   2224.016 0.840711  +0.540310    US/New Mexico  7300 Observatory, Cloudcroft
 3 H08  254.47081  +32.903978   2220.540 0.840705  +0.540319    US/New Mexico  BlackBird Observatory, Cloudcroft
 3 H09  255.5886   +39.696668   1744.344 0.77070   +0.63549     US/Colorado    Antelope Hills Observatory, Bennett
 3 H10  254.47141  +32.903308   2218.022 0.840711  +0.540309    US/New Mexico  Tzec Maun Observatory, Mayhill
 3 H11  250.9840   +31.861040   1246.041 0.85029   +0.52492     US/New Mexico  LightBuckets Observatory, Rodeo
 3 H12  254.47078  +32.903180   2216.448 0.840712  +0.540307    US/New Mexico  TechDome, Mayhill
 3 H13  248.25212  +32.901794    422.881 0.840489  +0.540134    US/Arizona     Lenomiya Observatory, Casa Grande
 3 H14  249.21233  +32.275816    803.793 0.846402  +0.530995    US/Arizona     Morning Star Observatory, Tucson
 3 H15  254.47156  +32.903260   2214.558 0.840711  +0.540308    US/New Mexico  ISON-NM Observatory, Mayhill
 3 H16  253.2890   +39.632573   2635.661 0.77152   +0.63472     US/Colorado    HUT Observatory, Eagle
 3 H17  254.38333  +38.516886   2777.241 0.783783  +0.619652    US/Colorado    Angel Peaks Observatory
 3 H18  249.28798  +31.973881   1083.507 0.849231  +0.526572    US/Arizona     Vail View Observatory, Vail
 3 H19  263.86259  +34.183154    175.329 0.828144  +0.558685    US/Oklahoma    Lone Star Observatory, Caney
 3 H20  271.81682  +39.477224    216.287 0.772950  +0.632393    US/Illinois    Eastern Illinois University Obs., Charleston
